Ticker,Earnings Yield,Value,Leverage,Growth,Profitability,Dividend Yield,Size,Liquidity,Market Sensitivity,Medium-Term Momentum,Industry,market_cap,Market Cap class
A,-0.013102107681334019,-0.18487301468849182,-0.31382128596305847,-0.12669816613197327,-0.05848924070596695,-0.33319780230522156,-0.1125270202755928,0.6233716607093811,0.4308665692806244,-0.5097008347511292,Health Care-S,,Small Cap
AAL,0.9555566906929016,-1.367128849029541,1.3329479694366455,-0.10231941938400269,-0.3851071000099182,-0.6382398009300232,-0.3760473430156708,3.2680649757385254,1.4509782791137695,-0.027333267033100128,Industrials-S,9735093248.0,Medium Cap
AAP,0.42921969294548035,0.6538439393043518,0.21101953089237213,-0.685228168964386,-0.18030674755573273,2.1749114990234375,-0.6144895553588867,3.8313679695129395,-0.20904868841171265,-1.7871201038360596,Consumer Discretionary-S,3980942080.0,Medium Cap
AAPL,-0.09129884093999863,-0.4379078447818756,0.16921348869800568,-0.08562692254781723,1.1181575059890747,-0.4341951310634613,0.9257997274398804,0.02700221911072731,0.16937291622161865,0.03394731879234314,Information Technology-S,2878568660992.0,Large Cap
ABBV,0.030996572226285934,-0.377446711063385,1.0102860927581787,0.21182875335216522,0.13919022679328918,1.1244608163833618,0.337440550327301,0.13237044215202332,-1.190366268157959,-0.4563676416873932,Health Care-S,260503715840.0,Large Cap
ABC,0.05031546577811241,-0.46186310052871704,1.7178981304168701,0.05053476244211197,1.5032247304916382,-0.21704265475273132,-0.09284358471632004,0.696158230304718,-0.8654032349586487,0.33268842101097107,Health Care-S,36149702656.0,Large Cap
ABT,-0.0746835470199585,-0.1248689517378807,-0.42901360988616943,-0.08038488030433655,-0.14155998826026917,0.12745927274227142,0.2780705392360687,-0.08732366561889648,-0.2661323845386505,-0.3845022916793823,Health Care-S,180251852800.0,Large Cap
ACGL,0.2832064926624298,0.37674424052238464,-0.8456989526748657,0.21465325355529785,-0.43090933561325073,-0.6040349006652832,-0.17218589782714844,0.3006460666656494,-0.6480076313018799,1.0276685953140259,Financials-S,28251265024.0,Large Cap
ACN,-0.05974474549293518,-0.25784918665885925,-0.8548912405967712,-0.07385005056858063,0.27206653356552124,-0.04772121086716652,0.30121496319770813,-0.010215596295893192,0.5716684460639954,-0.2373051941394806,Information Technology-S,204194955264.0,Large Cap
ADBE,-0.14622627198696136,-0.3579995036125183,-0.640242338180542,0.19152309000492096,0.410624623298645,-0.6382398009300232,0.3209027051925659,0.32150280475616455,1.333187222480774,0.06136782467365265,Information Technology-S,246391816192.0,Large Cap
ADI,-0.005201157182455063,0.1908007711172104,-0.6916355490684509,0.7589796781539917,-0.23834478855133057,0.06776517629623413,0.12118323147296906,0.5967686176300049,0.3592172861099243,-0.05376400798559189,Information Technology-S,90972200960.0,Large Cap
ADM,0.46974989771842957,0.586565375328064,-0.4917626976966858,0.20388877391815186,-0.00607749680057168,0.2893673777580261,-0.07480606436729431,0.4437912106513977,-0.7732625007629395,-0.4645554721355438,Consumer Staples-S,43751284736.0,Large Cap
ADP,-0.05195155739784241,-0.4032590389251709,-0.60417240858078,-0.2510041892528534,-0.025893287733197212,0.25554031133651733,0.11006959527730942,0.30285564064979553,-0.022954704239964485,-0.4591590464115143,Industrials-S,104817639424.0,Large Cap
ADSK,-0.15401387214660645,-0.43935227394104004,0.3670133054256439,0.6297529339790344,0.5858506560325623,-0.6382398009300232,-0.05705178529024124,0.36428430676460266,1.512648105621338,-0.3246273696422577,Information Technology-S,46891483136.0,Large Cap
AEE,0.06109704449772835,0.3842851519584656,0.21292580664157867,-0.2989710867404938,-0.4577489197254181,0.5575107336044312,-0.22470107674598694,0.39852163195610046,-0.7028836607933044,-0.5003925561904907,Utilities-S,21161885696.0,Large Cap
AEP,0.06339260190725327,0.4838187098503113,0.39783522486686707,-0.44274234771728516,-0.48296770453453064,0.9388372302055359,-0.0617813915014267,0.6170651912689209,-1.0013952255249023,-0.6036844849586487,Utilities-S,41023463424.0,Large Cap
AES,-0.3228965997695923,-0.2841346263885498,2.8173019886016846,-0.37232106924057007,-0.7844454646110535,0.6200597882270813,-0.32654333114624023,0.7182603478431702,0.3745429515838623,-0.4049372375011444,Utilities-S,12193943552.0,Large Cap
AFL,0.4392228126525879,0.35987234115600586,-0.8169799447059631,-0.8930080533027649,-0.6217126846313477,0.35799136757850647,-0.07202687114477158,0.20120741426944733,-0.06466027349233627,0.13052691519260406,Financials-S,45111590912.0,Large Cap
AIG,0.774250864982605,1.349119782447815,-0.6681037545204163,-0.09646997600793839,-0.7285999655723572,0.32882195711135864,-0.07419399172067642,0.35556963086128235,0.09837796539068222,-0.11506808549165726,Financials-S,42230988800.0,Large Cap
AIZ,0.09889795631170273,0.672558069229126,-0.7456027865409851,-0.44800445437431335,-0.664200484752655,0.2555253505706787,-0.4986078143119812,0.8244830965995789,-0.521384596824646,-0.8475713133811951,Financials-S,7390834176.0,Medium Cap
AJG,-0.10141447186470032,-0.09763690829277039,-0.4818539023399353,0.05531422793865204,-0.470896452665329,-0.23722346127033234,-0.05011368542909622,0.25597822666168213,-0.2549421787261963,0.1640920639038086,Financials-S,49736630272.0,Large Cap
AKAM,0.015551155433058739,0.06023456156253815,-0.01724175363779068,-0.1711338758468628,-0.0555521622300148,-0.6382398009300232,-0.33233311772346497,1.1156299114227295,0.20835047960281372,-0.4588548541069031,Information Technology-S,15838836736.0,Large Cap
ALB,0.633621335029602,0.12710222601890564,-0.5070985555648804,1.3430397510528564,0.11704429984092712,-0.3553749620914459,-0.1744127720594406,1.2496998310089111,1.9246443510055542,-0.3996249735355377,Materials-S,23205369856.0,Large Cap
ALGN,-0.21781514585018158,-0.2387852668762207,-0.9618663191795349,-0.5156610012054443,-0.15857787430286407,-0.6382398009300232,-0.18318592011928558,0.6323530077934265,1.9349663257598877,0.11484503746032715,Health Care-S,28135317504.0,Large Cap
ALK,0.02868397906422615,0.49744826555252075,-0.22343690693378448,-0.21475479006767273,-0.0766766220331192,-0.6382398009300232,-0.500909686088562,1.0980056524276733,0.8391550183296204,-0.06278408318758011,Industrials-S,5790151168.0,Medium Cap
ALL,-0.5930823087692261,0.48123788833618164,-0.7085755467414856,-1.1882094144821167,-0.5868334770202637,0.6830139756202698,-0.16057051718235016,0.8324382305145264,-0.721464991569519,-0.4910091161727905,Financials-S,28009508864.0,Large Cap
ALLE,0.05445941165089607,-0.2988661229610443,0.7744356393814087,-0.3220784068107605,0.09424106031656265,-0.045044172555208206,-0.3967946171760559,0.8310559391975403,0.2810252606868744,0.02073798142373562,Industrials-S,9898073088.0,Medium Cap
AMAT,0.07726643979549408,-0.2645041346549988,-0.46388116478919983,0.10517866909503937,0.3189864754676819,-0.3133094310760498,0.17182864248752594,0.32298529148101807,1.5765811204910278,0.46549850702285767,Information Technology-S,125463371776.0,Large Cap
AMCR,0.065078966319561,-0.5793836116790771,1.1580153703689575,0.9674723148345947,0.10895010828971863,0.9079115986824036,-0.315686970949173,0.48587551712989807,-0.4677748680114746,-0.6761246919631958,Materials-S,14064837632.0,Large Cap
AMD,-0.2634883522987366,0.04667971283197403,-0.9121510982513428,1.2031091451644897,-0.41767367720603943,-0.6382398009300232,0.2761232554912567,2.721139907836914,1.4861668348312378,0.16866552829742432,Information Technology-S,171131764736.0,Large Cap
AME,-0.07049307972192764,-0.09880249202251434,-0.5403156280517578,-0.20473219454288483,-0.2828785479068756,-0.39478975534439087,-0.10453878343105316,0.21661290526390076,0.04947913438081741,0.34496262669563293,Industrials-S,36812406784.0,Large Cap
AMGN,0.22005529701709747,-0.39650875329971313,2.944624662399292,-0.6107141971588135,0.6746076345443726,0.8415780067443848,0.17560835182666779,0.36654987931251526,-0.8839290142059326,-0.4927540123462677,Health Care-S,138881695744.0,Large Cap
AMP,0.2531023919582367,-0.26149672269821167,-0.5081960558891296,-0.3761753737926483,-0.3606865108013153,0.012486567720770836,-0.11862918734550476,0.32887160778045654,0.9069015383720398,0.2604249119758606,Financials-S,34936967168.0,Large Cap
AMT,-0.2094605416059494,-0.3687790334224701,2.4902756214141846,-0.29984360933303833,-0.31776246428489685,0.6693037152290344,0.10722294449806213,0.11152969300746918,0.12406350672245026,-0.9523047208786011,Real Estate-S,84607311872.0,Large Cap
AMZN,-0.29347047209739685,-0.2686946988105774,0.047354456037282944,-0.051939718425273895,0.056566186249256134,-0.6382398009300232,0.7365280985832214,0.15219388902187347,0.9534493684768677,-0.3817901313304901,Consumer Discretionary-S,1391974547456.0,Large Cap
ANET,-0.08383535593748093,-0.28289684653282166,-0.9938583374023438,0.779944658279419,0.032340578734874725,-0.6382398009300232,-0.035002853721380234,0.6492288708686829,0.23997198045253754,0.46787986159324646,Information Technology-S,57411792896.0,Large Cap
ANSS,-0.1758144199848175,-0.1790512502193451,-0.6878755688667297,-0.010394181124866009,-0.17073692381381989,-0.6382398009300232,-0.1615845263004303,0.2458435595035553,0.8202617168426514,0.130869060754776,Information Technology-S,27229845504.0,Large Cap
AON,-0.02630896493792534,-0.47665709257125854,2.2673659324645996,-0.1790575236082077,0.3591134250164032,-0.35282936692237854,0.04339654743671417,0.29836004972457886,-0.2651655077934265,0.02332795038819313,Financials-S,67595288576.0,Large Cap
AOS,-0.07235264778137207,-0.1200416162610054,-0.7311604619026184,-0.5768303275108337,-0.05350319668650627,0.05512763187289238,-0.4341804087162018,0.840035617351532,0.306029736995697,0.08223466575145721,Industrials-S,10814283776.0,Large Cap
APA,1.1060689687728882,-0.40128475427627563,2.452927827835083,0.8306941986083984,1.0702005624771118,0.4515262842178345,-0.39225098490715027,1.6409788131713867,0.3825717568397522,-0.34149986505508423,Energy-S,13445658624.0,Large Cap
APD,-0.061142995953559875,-0.0919162854552269,-0.15436948835849762,-0.15691833198070526,-0.25325435400009155,0.30846938490867615,0.030406992882490158,0.1475483477115631,-0.07936760038137436,0.1072147935628891,Materials-S,65236275200.0,Large Cap
APH,-0.04709991440176964,-0.21417726576328278,-0.2378629446029663,-0.09745016694068909,-0.04804876074194908,-0.22904792428016663,-0.032714057713747025,0.26006391644477844,0.17315231263637543,-0.08480731397867203,Information Technology-S,52434276352.0,Large Cap
APTV,-0.09424522519111633,0.06789221614599228,-0.14728803932666779,-0.7035143971443176,-0.2750861942768097,-0.6382398009300232,-0.15608535706996918,0.5022569894790649,1.659999132156372,-0.37563300132751465,Consumer Discretionary-S,28514316288.0,Large Cap
ARE,-0.06967263668775558,1.1864748001098633,-0.28190192580223083,-0.0016490683192387223,-0.5824264883995056,1.0275152921676636,-0.24404723942279816,0.4041213095188141,0.39334210753440857,-0.923913836479187,Real Estate-S,20285802496.0,Large Cap
ATO,0.05411241948604584,0.5863896012306213,-0.21344348788261414,0.04379529133439064,-0.6897838115692139,0.35767078399658203,-0.2831974923610687,0.6147928237915039,-0.7706732153892517,-0.2983509302139282,Utilities-S,17407168512.0,Large Cap
ATVI,-0.07156170159578323,0.06272348761558533,-0.6770942211151123,-0.28649476170539856,-0.2978782057762146,-0.6382398009300232,0.03486692160367966,1.5040024518966675,-1.4610270261764526,-0.29391926527023315,Communication Services-S,72369684480.0,Large Cap
AVB,-0.0830010399222374,0.25453171133995056,0.03586909919977188,-0.6548004746437073,-0.5265108942985535,0.7421683073043823,-0.17428328096866608,0.34606289863586426,-0.40094560384750366,-0.46910610795021057,Real Estate-S,26119581696.0,Large Cap
AVGO,-0.011096912436187267,-0.3659166991710663,0.565945565700531,0.62251877784729,0.3572954833507538,0.21259813010692596,0.42959970235824585,0.2587445378303528,0.3039957880973816,1.1166762113571167,Information Technology-S,367260762112.0,Large Cap
AVY,0.06462465971708298,-0.2140410989522934,0.3352317214012146,-0.1579207181930542,-0.007251126691699028,0.09632281959056854,-0.33121806383132935,0.6252058148384094,0.05760030448436737,-0.510063648223877,Materials-S,15110887424.0,Large Cap
AWK,-0.10409203171730042,0.12208379805088043,0.20704543590545654,-0.39178407192230225,-0.5149536728858948,0.08072415739297867,-0.1641097366809845,0.42407405376434326,-0.15680427849292755,-0.4250958561897278,Utilities-S,27267287040.0,Large Cap
AXON,-0.2565804719924927,-0.3036804497241974,-0.38297051191329956,1.6445434093475342,0.06339728087186813,-0.6382398009300232,-0.32059812545776367,1.2150981426239014,1.3057299852371216,1.5013080835342407,Industrials-S,15336266752.0,Large Cap
AXP,0.1368420124053955,-0.11602548509836197,-0.17589084804058075,-0.27227696776390076,-0.3125823438167572,-0.10237347334623337,0.18949948251247406,0.06957493722438812,0.6995826363563538,-0.0895642563700676,Financials-S,118010191872.0,Large Cap
